OTU	size	match	species	ID1	ID2	rep/refs	Kingdom	Phylum	Class	Order	Family	Genus	Species	taxonomy	Guild_full	Guild	Trophic_Mode	Confidence Ranking
OTU199	354	98.8	Agaricomycetes_sp	UDB0703205	SH1086216.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	-	-	-	-	Fungi;Basidiomycota;Agaricomycetes;-;-;-;-	-	nd	nd	-
OTU200	353	98.8	Cladophialophora_sp	UDB02828220	SH0936822.09FU	reps	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	-	Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;-	Animal Pathogen-Endophyte-Fungal Parasite-Undefined Saprotroph	Saprotroph	Pathotroph-Saprotroph-Symbiotroph	Probable
OTU201	353	98.9	Hymenochaetales_sp	UDB03530798	SH0961069.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	-	-	-	Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;-;-;-	-	nd	nd	-
OTU203	340	98.9	Trechispora_sp	UDB06321614	SH0938538.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Trechispora	-	Fungi;Basidiomycota;Agaricomycetes;Trechisporales;Hydnodontaceae;Trechispora;-	Wood Saprotroph	Saprotroph	Saprotroph	Highly Probable
OTU204	340	99.3	Xenasmatella_sp	UDB0790194	SH0895808.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Agaricomycetes	Agaricomycetes	Xenasmatella	-	Fungi;Basidiomycota;Agaricomycetes;Agaricomycetes;Agaricomycetes;Xenasmatella;-	Undefined Saprotroph-Wood Saprotroph	Saprotroph	Saprotroph	Probable
OTU205	333	98.9	Sistotrema_sp	UDB07045440	SH1210320.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Sistotrema	-	Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Hydnaceae;Sistotrema;-	Ectomycorrhizal-Plant Saprotroph-Wood Saprotroph	nd	nd	Possible
OTU211	316	97.3	Trichoderma_asperellum	FJ610268	SH1331108.09FU	reps	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_asperellum	Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;Trichoderma_asperellum	Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph	Saprotroph	Pathotroph-Saprotroph-Symbiotroph	Probable
OTU214	1289	97.4	Geminibasidium_sp	UDB02749746	SH1273353.09FU	reps	Fungi	Basidiomycota	Geminibasidiomycetes	Geminibasidiales	Geminibasidiaceae	Geminibasidium	-	Fungi;Basidiomycota;Geminibasidiomycetes;Geminibasidiales;Geminibasidiaceae;Geminibasidium;-	Undefined Saprotroph	Saprotroph	Saprotroph	Probable
OTU216	401	96.1	Sporidiobolales_sp	UDB07547576	SH1048981.09FU	reps	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	-	-	-	Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales;-;-;-	-	nd	nd	-
OTU219	281	98.2	Clavariaceae_sp	UDB03193441	SH1237028.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	-	-	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Clavariaceae;-;-	Lichenized-Undefined Saprotroph	Saprotroph	Saprotroph-Symbiotroph	Probable
OTU22	22858	99.4	Podila_humilis	JN943793	SH0887892.09FU	refs	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila_humilis	Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Podila;Podila_humilis	-	nd	nd	-
OTU223	257	98.9	Agaricomycetes_sp	UDB0679997	SH1301861.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	-	-	-	-	Fungi;Basidiomycota;Agaricomycetes;-;-;-;-	-	nd	nd	-
OTU227	239	98	Gliophorus_laetus	FM208887	SH1839619.09FU	refs_singleton	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Gliophorus	Gliophorus_laetus	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Hygrophoraceae;Gliophorus;Gliophorus_laetus	Undefined Saprotroph-Undefined Symbiotroph	Saprotroph	Saprotroph-Symbiotroph	Highly Probable
OTU228	233	98.5	Piloderma_lanatum	UDB04646224	SH1188127.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Pilodermataceae	Piloderma	Piloderma_lanatum	Fungi;Basidiomycota;Agaricomycetes;Atheliales;Pilodermataceae;Piloderma;Piloderma_lanatum	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU23	26444	97.6	Mycena_sp	UDB05031408	SH1125830.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	-	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Mycenaceae;Mycena;-	Plant Pathogen-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph	Saprotroph	Pathotroph-Saprotroph	Probable
OTU230	230	99.3	Cortinarius_heterodepressus	MG136830	SH1284335.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_heterodepressus	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius;Cortinarius_heterodepressus	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU233	216	98.7	Russula_aeruginea	EU712076	SH1046814.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_aeruginea	Fungi;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula;Russula_aeruginea	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU234	262	96.2	Rickenella_fibula	UDB011606	SH1238024.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Rickenellaceae	Rickenella	Rickenella_fibula	Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Rickenellaceae;Rickenella;Rickenella_fibula	Bryophyte Parasite-Plant Pathogen	Saprotroph	Pathotroph	Probable
OTU235	215	98.8	GS21_sp	UDB02432684	SH1203095.09FU	reps	Fungi	Mucoromycota	Endogonomycetes	-	-	-	-	Fungi;Mucoromycota;Endogonomycetes;-;-;-;-	-	nd	nd	-
OTU236	212	98.6	Tomentella_sp	UDB06163585	SH1140575.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	-	Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Tomentella;-	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU237	533	96.1	Umbelopsis_sp	UDB06966032	SH0911710.09FU	reps	Fungi	Mucoromycota	Umbelopsidomycetes	Umbelopsidales	Umbelopsidaceae	Umbelopsis	-	Fungi;Mucoromycota;Umbelopsidomycetes;Umbelopsidales;Umbelopsidaceae;Umbelopsis;-	Undefined Saprotroph	Saprotroph	Saprotroph	Probable
OTU238	209	99.3	Sistotrema_sp	MW215677	SH1210398.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Sistotrema	-	Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Hydnaceae;Sistotrema;-	Ectomycorrhizal-Plant Saprotroph-Wood Saprotroph	nd	nd	Possible
OTU239	207	99.3	Boidinia_furfuracea	UDB01532930	SH1278593.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Boidinia	Boidinia_furfuracea	Fungi;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Boidinia;Boidinia_furfuracea	Undefined Saprotroph-Wood Saprotroph	Saprotroph	Saprotroph	Probable
OTU24	20615	99.3	Tomentella_stuposa	UDB003302	SH0922781.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_stuposa	Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Tomentella;Tomentella_stuposa	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU241	377	99.2	Cortinarius_panellus	MT935276	SH1284112.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_panellus	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius;Cortinarius_panellus	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU242	332	97.3	Tricholoma_sp	MW724470	SH1176019.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	-	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Tricholoma;-	Ectomycorrhizal-Fungal Parasite	Ectomycorrhizal	Pathotroph-Symbiotroph	Highly Probable
OTU243	198	99.3	Pochonia_sp	UDB05092874	SH1111210.09FU	reps	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Pochonia	-	Fungi;Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Pochonia;-	Animal Parasite-Animal Pathogen-Undefined Saprotroph	Saprotroph	Pathotroph-Saprotroph	Probable
OTU244	198	97.6	Rozellomycota_sp	UDB06738400	SH1074357.09FU	reps	Fungi	Rozellomycota	-	-	-	-	-	Fungi;Rozellomycota;-;-;-;-;-	-	nd	nd	-
OTU245	197	98.8	Linnemannia_amoeboidea	HQ630346	SH2088875.09FU	refs	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia_amoeboidea	Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Linnemannia;Linnemannia_amoeboidea	-	nd	nd	-
OTU249	189	98.9	Amyloxenasma_allantosporum	UDB024822	SH1067548.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Amylocorticiales	Amylocorticiaceae	Amyloxenasma	Amyloxenasma_allantosporum	Fungi;Basidiomycota;Agaricomycetes;Amylocorticiales;Amylocorticiaceae;Amyloxenasma;Amyloxenasma_allantosporum	Undefined Saprotroph-Wood Saprotroph	Saprotroph	Saprotroph	Probable
OTU25	20374	99.4	Russula_badia	UDB016002	SH1220617.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_badia	Fungi;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula;Russula_badia	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU250	187	98.5	Auriculariales_sp	UDB01471757	SH0929856.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariales	Auriculariales	-	Fungi;Basidiomycota;Agaricomycetes;Auriculariales;Auriculariales;Auriculariales;-	-	nd	nd	-
OTU251	186	99.3	Debaryomyces_prosopidis	JN942657	SH1029444.09FU	refs	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_prosopidis	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces;Debaryomyces_prosopidis	Undefined Saprotroph	Saprotroph	Saprotroph	Highly Probable
OTU252	442	99.6	Rozellomycota_sp	UDB059899	SH1074441.09FU	reps	Fungi	Rozellomycota	-	-	-	-	-	Fungi;Rozellomycota;-;-;-;-;-	-	nd	nd	-
OTU253	176	99.4	Rhizopogon_verii	AM085531	SH1219438.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Boletales	Rhizopogonaceae	Rhizopogon	Rhizopogon_verii	Fungi;Basidiomycota;Agaricomycetes;Boletales;Rhizopogonaceae;Rhizopogon;Rhizopogon_verii	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU254	385	96.3	Geminibasidium_sp	UDB02749746	SH1273353.09FU	reps	Fungi	Basidiomycota	Geminibasidiomycetes	Geminibasidiales	Geminibasidiaceae	Geminibasidium	-	Fungi;Basidiomycota;Geminibasidiomycetes;Geminibasidiales;Geminibasidiaceae;Geminibasidium;-	Undefined Saprotroph	Saprotroph	Saprotroph	Probable
OTU255	181	98.2	Trechispora_sp	UDB06343234	SH0938480.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Trechispora	-	Fungi;Basidiomycota;Agaricomycetes;Trechisporales;Hydnodontaceae;Trechispora;-	Wood Saprotroph	Saprotroph	Saprotroph	Highly Probable
OTU256	163	99.2	Hypomyces_ochraceus	UDB006037	SH1268645.09FU	refs	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Hypomyces	Hypomyces_ochraceus	Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Hypomyces;Hypomyces_ochraceus	Fungal Parasite	Fungal Parasite	Pathotroph	Highly Probable
OTU258	159	99.6	Exophiala_moniliae	KU838011	SH1254399.09FU	reps	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_moniliae	Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Exophiala;Exophiala_moniliae	Animal Parasite-Animal Pathogen-Endophyte-Plant Saprotroph-Undefined Saprotroph	Saprotroph	Pathotroph-Saprotroph-Symbiotroph	Probable
OTU259	159	98	Nectriopsis_sp	UDB01943361	SH1090103.09FU	reps	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Nectriopsis	-	Fungi;Ascomycota;Sordariomycetes;Hypocreales;Bionectriaceae;Nectriopsis;-	Fungal Parasite-Lichen Parasite-Protist Parasite-Protistan Parasite	Fungal Parasite	Pathotroph	Probable
OTU26	21031	96.1	Umbelopsis_sp	UDB06966032	SH0911710.09FU	reps	Fungi	Mucoromycota	Umbelopsidomycetes	Umbelopsidales	Umbelopsidaceae	Umbelopsis	-	Fungi;Mucoromycota;Umbelopsidomycetes;Umbelopsidales;Umbelopsidaceae;Umbelopsis;-	Undefined Saprotroph	Saprotroph	Saprotroph	Probable
OTU260	256	98.3	Rhizophydiales_sp	UDB02286142	SH0897802.09FU	reps	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Rhizophydiales	Rhizophydiales	-	Fungi;Chytridiomycota;Rhizophydiomycetes;Rhizophydiales;Rhizophydiales;Rhizophydiales;-	-	nd	nd	-
OTU263	151	97	Kochiomyces_dichotomus	UDB02363042	SH1175793.09FU	reps	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Spizellomycetaceae	Kochiomyces	Kochiomyces_dichotomus	Fungi;Chytridiomycota;Spizellomycetes;Spizellomycetales;Spizellomycetaceae;Kochiomyces;Kochiomyces_dichotomus	Algal Parasite-Plant Pathogen-Pollen Saprotroph	Saprotroph	Pathotroph-Saprotroph	Probable
OTU265	147	96.5	Cladophialophora_sp	UDB02751927	SH1280413.09FU	reps	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	-	Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;-	Animal Pathogen-Endophyte-Fungal Parasite-Undefined Saprotroph	Saprotroph	Pathotroph-Saprotroph-Symbiotroph	Probable
OTU266	146	97.6	Umbelopsis_sp	UDB06937223	SH0908912.09FU	reps	Fungi	Mucoromycota	Umbelopsidomycetes	Umbelopsidales	Umbelopsidaceae	Umbelopsis	-	Fungi;Mucoromycota;Umbelopsidomycetes;Umbelopsidales;Umbelopsidaceae;Umbelopsis;-	Undefined Saprotroph	Saprotroph	Saprotroph	Probable
OTU270	141	99.3	Galerina_allospora	UDB02504010	SH1162633.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Galerina	Galerina_allospora	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Strophariaceae;Galerina;Galerina_allospora	Bryophyte Parasite-Plant Pathogen-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph	Saprotroph	Pathotroph-Saprotroph	Probable
OTU271	161	97.6	Penicillium_sp	FJ884179	SH0884516.09FU	reps	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	-	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;-	Animal Parasite-Dung Saprotroph-Endophyte-Fungal Parasite-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph	Saprotroph	Pathotroph-Saprotroph-Symbiotroph	Highly Probable
OTU273	159	99.2	Archaeosporales_sp	AM420400	SH0934757.09FU	refs	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	-	-	-	Fungi;Glomeromycota;Archaeosporomycetes;Archaeosporales;-;-;-	Arbuscular Mycorrhizal	Arbuscular Mycorrhizal	Symbiotroph	Highly Probable
OTU276	123	98.6	Botryobasidium_obtusisporum	UDB01537817	SH0880468.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Botryobasidiaceae	Botryobasidium	Botryobasidium_obtusisporum	Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Botryobasidiaceae;Botryobasidium;Botryobasidium_obtusisporum	Undefined Saprotroph-Wood Saprotroph	Saprotroph	Saprotroph	Probable
OTU279	121	96.6	GS27_sp	UDB0238608	SH1026209.09FU	reps	Fungi	Basidiomycota	-	-	-	-	-	Fungi;Basidiomycota;-;-;-;-;-	-	nd	nd	-
OTU28	56473	96.7	Geminibasidium_sp	UDB0681903	SH1091521.09FU	reps	Fungi	Basidiomycota	Geminibasidiomycetes	Geminibasidiales	Geminibasidiaceae	Geminibasidium	-	Fungi;Basidiomycota;Geminibasidiomycetes;Geminibasidiales;Geminibasidiaceae;Geminibasidium;-	Undefined Saprotroph	Saprotroph	Saprotroph	Probable
OTU280	120	99.3	Exophiala_sp	UDB02010158	SH1254406.09FU	reps	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	-	Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Exophiala;-	Animal Parasite-Animal Pathogen-Endophyte-Plant Saprotroph-Undefined Saprotroph	Saprotroph	Pathotroph-Saprotroph-Symbiotroph	Probable
OTU281	119	98.6	Laccaria_maritima	UDB017693	SH1173902.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria_maritima	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Hydnangiaceae;Laccaria;Laccaria_maritima	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU282	119	96.6	Mastigobasidium_sp	UDB03667427	SH1294775.09FU	reps	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Mastigobasidium	-	Fungi;Basidiomycota;Microbotryomycetes;Leucosporidiales;Leucosporidiaceae;Mastigobasidium;-	Fungal Parasite-Plant Saprotroph	Fungal Parasite	Pathotroph-Saprotroph	Probable
OTU283	118	98.7	Ceratobasidium_sp	UDB01690149	SH1010084.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	-	Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Ceratobasidiaceae;Ceratobasidium;-	Ectomycorrhizal-Endomycorrhizal-Orchid Mycorrhizal-Plant Pathogen-Plant Saprotroph-Undefined Saprotroph	nd	nd	Possible
OTU284	116	98.1	Pochonia_cordycepisociata	UDB05093763	SH1111083.09FU	reps	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Pochonia	Pochonia_cordycepisociata	Fungi;Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Pochonia;Pochonia_cordycepisociata	Animal Parasite-Animal Pathogen-Undefined Saprotroph	Saprotroph	Pathotroph-Saprotroph	Probable
OTU285	116	99.3	Clavaria_sp	UDB03155332	SH1063834.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	-	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Clavariaceae;Clavaria;-	Undefined Saprotroph-Undefined Symbiotroph	Saprotroph	Saprotroph-Symbiotroph	Probable
OTU286	115	97.5	Trechisporales_sp	UDB06383031	SH0908750.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Trechisporales	-	-	Fungi;Basidiomycota;Agaricomycetes;Trechisporales;Trechisporales;-;-	-	nd	nd	-
OTU287	221	98.8	Wilcoxina_mikolae	HQ406818	SH0885806.09FU	refs	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Wilcoxina	Wilcoxina_mikolae	Fungi;Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;Wilcoxina;Wilcoxina_mikolae	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU288	115	99.6	Tricholoma_stans	UDB011128	SH1086532.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	Tricholoma_stans	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Tricholoma;Tricholoma_stans	Ectomycorrhizal-Fungal Parasite	Ectomycorrhizal	Pathotroph-Symbiotroph	Highly Probable
OTU289	139	99.3	Tylospora_asterophora	UDB000841	SH1235528.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Tylosporaceae	Tylospora	Tylospora_asterophora	Fungi;Basidiomycota;Agaricomycetes;Atheliales;Tylosporaceae;Tylospora;Tylospora_asterophora	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU29	17894	98.9	Imleria_badia	UDB000436	SH0906568.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Imleria	Imleria_badia	Fungi;Basidiomycota;Agaricomycetes;Boletales;Boletaceae;Imleria;Imleria_badia	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Probable
OTU290	111	98.9	Glomeraceae_sp	UDB0617582	SH0957265.09FU	reps	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae	-	Fungi;Glomeromycota;Glomeromycetes;Glomerales;Glomeraceae;Glomeraceae;-	Arbuscular Mycorrhizal	Arbuscular Mycorrhizal	Symbiotroph	Highly Probable
OTU291	109	97.8	GS22_sp	UDB0682243	SH1101480.09FU	reps	Fungi	Mucoromycota	Endogonomycetes	-	-	-	-	Fungi;Mucoromycota;Endogonomycetes;-;-;-;-	-	nd	nd	-
OTU293	107	97.4	Basidiomycota_sp	UDB0414072	SH1286202.09FU	reps	Fungi	Basidiomycota	-	-	-	-	-	Fungi;Basidiomycota;-;-;-;-;-	-	nd	nd	-
OTU294	176	99.2	Sordariomycetes_sp	UDB0803424	SH1133745.09FU	reps	Fungi	Ascomycota	Sordariomycetes	-	-	-	-	Fungi;Ascomycota;Sordariomycetes;-;-;-;-	-	nd	nd	-
OTU298	155	97.7	GS25_ord_Incertae_sedis_sp	UDB02471795	SH1268087.09FU	reps	Fungi	Basidiomycota	-	-	-	-	-	Fungi;Basidiomycota;-;-;-;-;-	-	nd	nd	-
OTU299	96	99.6	Serendipita_sp	JQ420967	SH1218752.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita	-	Fungi;Basidiomycota;Agaricomycetes;Sebacinales;Serendipitaceae;Serendipita;-	Ectomycorrhizal-Endophyte-Ericoid Mycorrhizal-Orchid Mycorrhizal-Undefined Saprotroph	Ectomycorrhizal	Saprotroph-Symbiotroph	Highly Probable
OTU3	376960	99.3	Umbelopsis_dimorpha	JN206387	SH0898191.09FU	refs	Fungi	Mucoromycota	Umbelopsidomycetes	Umbelopsidales	Umbelopsidaceae	Umbelopsis	Umbelopsis_dimorpha	Fungi;Mucoromycota;Umbelopsidomycetes;Umbelopsidales;Umbelopsidaceae;Umbelopsis;Umbelopsis_dimorpha	Undefined Saprotroph	Saprotroph	Saprotroph	Probable
OTU30	19762	96.3	Luellia_sp	FJ475686	SH1261404.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Luellia	-	Fungi;Basidiomycota;Agaricomycetes;Trechisporales;Hydnodontaceae;Luellia;-	Undefined Saprotroph-Wood Saprotroph	Saprotroph	Saprotroph	Probable
OTU300	95	99.2	Cortinarius_sp	UDB04434953	SH1151319.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	-	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius;-	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU301	94	98.7	Mortierella_sp	UDB04550443	SH1304520.09FU	reps	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	-	Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;-	Endophyte-Plant Saprotroph-Undefined Saprotroph	Saprotroph	Saprotroph-Symbiotroph	Probable
OTU303	91	97.2	Mucor_hiemalis	MH109031	SH1270683.09FU	reps	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor_hiemalis	Fungi;Mucoromycota;Mucoromycetes;Mucorales;Mucoraceae;Mucor;Mucor_hiemalis	Undefined Saprotroph	Saprotroph	Saprotroph	Probable
OTU305	85	97.9	Galerina_calyptrata	UDB02504277	SH1162856.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Galerina	Galerina_calyptrata	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Strophariaceae;Galerina;Galerina_calyptrata	Bryophyte Parasite-Plant Pathogen-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph	Saprotroph	Pathotroph-Saprotroph	Probable
OTU306	85	98.4	Paecilomyces_maximus	FJ389929	SH1126443.09FU	refs	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Paecilomyces	Paecilomyces_maximus	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Paecilomyces;Paecilomyces_maximus	Clavicipitaceous Endophyte-Plant Pathogen-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph	Saprotroph	Pathotroph-Saprotroph-Symbiotroph	Probable
OTU308	106	96.9	GS08_sp	UDB02311838	SH1056537.09FU	reps	Fungi	Rozellomycota	Rozellomycotina	-	-	-	-	Fungi;Rozellomycota;Rozellomycotina;-;-;-;-	-	nd	nd	-
OTU309	83	99.3	Phallus_impudicus	UDB015413	SH0908617.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Phallales	Phallaceae	Phallus	Phallus_impudicus	Fungi;Basidiomycota;Agaricomycetes;Phallales;Phallaceae;Phallus;Phallus_impudicus	Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph	Saprotroph	Saprotroph	Probable
OTU31	44213	98	Umbelopsis_angularis	JN206380	SH1391982.09FU	refs	Fungi	Mucoromycota	Umbelopsidomycetes	Umbelopsidales	Umbelopsidaceae	Umbelopsis	Umbelopsis_angularis	Fungi;Mucoromycota;Umbelopsidomycetes;Umbelopsidales;Umbelopsidaceae;Umbelopsis;Umbelopsis_angularis	Undefined Saprotroph	Saprotroph	Saprotroph	Probable
OTU310	155	99.6	Serendipitaceae_sp	DQ309105	SH1921116.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	-	-	Fungi;Basidiomycota;Agaricomycetes;Sebacinales;Serendipitaceae;-;-	-	nd	nd	-
